index,Doanh thu thuần,LN thuần từ HĐKD,LNST của CĐ cty mẹ,LNST thu nhập DN,Lợi nhuận gộp,Ticker
Quý 1/2025,36134958,1940205,1545937,1547834,7200411,MWG
Quý 2/2025,37619969,2041251,1648146,1657529,7568701,MWG
Quý 3/2025,39852507,2190441,1770899,1783666,7478187,MWG
Quý 4/2025,42850393,2495518,2071646,2086492,8046245,MWG
page_index,1,1,1,1,1,MWG
Quý 1/2024,31486492,1212405,902437,902974,6712616,MWG
Quý 2/2024,34134072,1697652,1172277,1172384,7307714,MWG
Quý 3/2024,34146669,1320438,800150,805787,6891911,MWG
Quý 4/2024,34573921,996550,847004,852144,6586969,MWG
Quý 1/2023,27105812,168427,21267,21281,5214500,MWG
Quý 2/2023,29464830,189371,17406,17414,5441168,MWG
Quý 3/2023,30287657,196834,38739,38816,5678485,MWG
Quý 4/2023,31421489,463219,90258,90318,6186461,MWG
Quý 1/2022,36466677,1997371,1444465,1445244,8124264,MWG
Quý 2/2022,34337740,1703196,1130011,1130669,7336418,MWG
Quý 3/2022,32011980,1647301,906246,906779,7392024,MWG
Quý 4/2022,30588381,964210,619041,619022,7929509,MWG
Quý 1/2021,30828144,1823977,1337969,1338633,7024946,MWG
Quý 2/2021,31658419,1628200,1213030,1213678,7143583,MWG
Quý 3/2021,24333214,965787,785385,785802,6088713,MWG
Quý 4/2021,36138330,2026738,1562486,1563313,7374890,MWG
Quý 1/2020,29353213,1542672,1131519,1132120,6159970,MWG
Quý 2/2020,26285559,1262259,893912,894424,5770142,MWG
Quý 3/2020,25713554,1279240,950540,951032,5749720,MWG
Quý 4/2020,27193693,1328359,941797,942297,6274665,MWG
Quý 1/2019,25017410,1331392,1040441,1041120,4433778,MWG
Quý 2/2019,26603759,1392800,1079179,1079566,4748417,MWG
Quý 3/2019,25142086,1136428,855081,855532,4940557,MWG
Quý 4/2019,25410989,1174063,859569,860022,5365047,MWG
Quý 1/2018,22763520,1038785,807364,807464,3974763,MWG
Quý 2/2018,21806934,965031,731968,732106,3861642,MWG
Quý 3/2018,20907583,854343,647365,647635,3702551,MWG
Quý 4/2018,21038251,916023,692026,693104,3753172,MWG
Quý 1/2017,15586037,703506,557814,558124,2651963,MWG
Quý 2/2017,15654245,647617,511167,511445,2621872,MWG
Quý 3/2017,16380822,716294,564761,565070,2823732,MWG
Quý 4/2017,18718700,728027,571938,572257,3044213,MWG
Quý 1/2016,9627014,518846,417791,418025,1589194,MWG
Quý 2/2016,10022583,517472,416648,416886,1594696,MWG
Quý 3/2016,11126308,518178,387307,387523,1834279,MWG
Quý 4/2016,13837427,452375,355615,355814,2195937,MWG
Quý 1/2015,5496481,297714,231560,233091,801116,MWG
Quý 2/2015,5363271,281425,221182,222636,812902,MWG
Quý 3/2015,6646721,360944,287299,288008,1023873,MWG
Quý 4/2015,7746260,422257,331852,332037,1284540,MWG
Quý 1/2014,3487825,215002,166213,168662,544601,MWG
Quý 2/2014,3487062,182684,142184,143052,526872,MWG
Quý 3/2014,3945123,222060,175231,176370,633943,MWG
Quý 4/2014,4836716,236572,184478,185660,690703,MWG
Quý 3/2013,2428318,111152,80969,81976,369566,MWG
