Ticker,ZigZagStatus,ZigZagSourceRows,ZigZagUsableRows,ZigZagConfirmedPivots,ZigZagCurrentStatus,ZigZagSwingCount,PriceMovementStatus,PriceMovementSwingCount,MovementProfileCharacter,ErrorStage,ErrorMessage
AAA,OK,4030,4030,518,PROVISIONAL,517,OK,517,MIXED,,
AAH,OK,666,666,149,PROVISIONAL,148,OK,148,MIXED,,
AAS,OK,1536,1536,313,PROVISIONAL,312,OK,312,MIXED,,
AAV,OK,2050,2050,379,PROVISIONAL,378,OK,378,MIXED,,
ABB,OK,1425,1425,154,PROVISIONAL,153,OK,153,TRENDING_UP,,
ABS,OK,1624,1624,206,PROVISIONAL,205,OK,205,MIXED,,
ABW,OK,825,825,113,PROVISIONAL,112,OK,112,MIXED,,
ACB,OK,4938,4938,439,PROVISIONAL,438,OK,438,MIXED,,
ACV,OK,2453,2453,206,PROVISIONAL,205,OK,205,MIXED,,
ADS,OK,2553,2553,277,PROVISIONAL,276,OK,276,MIXED,,
AFX,OK,2438,2438,355,PROVISIONAL,354,OK,354,MIXED,,
AGG,OK,1668,1668,131,PROVISIONAL,130,OK,130,MIXED,,
AGR,OK,4181,4181,607,PROVISIONAL,606,OK,606,MIXED,,
AMS,OK,2404,2404,436,PROVISIONAL,435,OK,435,MIXED,,
AMV,OK,4169,4169,805,PROVISIONAL,804,OK,804,MIXED,,
ANV,OK,4677,4677,709,PROVISIONAL,708,OK,708,MIXED,,
APF,OK,2319,2319,187,PROVISIONAL,186,OK,186,MIXED,,
APG,OK,4100,4100,743,PROVISIONAL,742,OK,742,MIXED,,
APH,OK,1533,1533,161,PROVISIONAL,160,OK,160,MIXED,,
API,OK,4208,4208,898,PROVISIONAL,897,OK,897,MIXED,,
APS,OK,4289,4289,862,PROVISIONAL,861,OK,861,MIXED,,
ASM,OK,4155,4155,552,PROVISIONAL,551,OK,551,MIXED,,
ASP,OK,4635,4635,651,PROVISIONAL,650,OK,650,TRENDING_UP,,
BAF,OK,1192,1192,97,PROVISIONAL,96,OK,96,TRENDING_UP,,
BCM,OK,2135,2135,275,PROVISIONAL,274,OK,274,MIXED,,
BFC,OK,2734,2734,348,PROVISIONAL,347,OK,347,MIXED,,
BIC,OK,3751,3751,425,PROVISIONAL,424,OK,424,MIXED,,
BID,OK,3151,3151,287,PROVISIONAL,286,OK,286,MIXED,,
BIG,OK,1167,1167,282,PROVISIONAL,281,OK,281,MIXED,,
BII,OK,2828,2828,743,PROVISIONAL,742,OK,742,MIXED,,
BKG,OK,1422,1422,152,PROVISIONAL,151,OK,151,MIXED,,
BMI,OK,4925,4925,597,PROVISIONAL,596,OK,596,MIXED,,
BMP,OK,5032,5032,516,PROVISIONAL,515,OK,515,MIXED,,
BMS,OK,2025,2025,372,PROVISIONAL,371,OK,371,MIXED,,
BSI,OK,3779,3779,576,PROVISIONAL,575,OK,575,MIXED,,
BSR,OK,2128,2128,332,PROVISIONAL,331,OK,331,MIXED,,
BVB,OK,1537,1537,193,PROVISIONAL,192,OK,192,MIXED,,
BVH,OK,4301,4301,513,PROVISIONAL,512,OK,512,MIXED,,
BVS,OK,4924,4924,758,PROVISIONAL,757,OK,757,MIXED,,
BWE,OK,2287,2287,182,PROVISIONAL,181,OK,181,MIXED,,
C4G,OK,1938,1938,315,PROVISIONAL,314,OK,314,MIXED,,
C69,OK,2351,2351,474,PROVISIONAL,473,OK,473,MIXED,,
CAP,OK,4659,4659,553,PROVISIONAL,552,OK,552,MIXED,,
CCL,OK,3879,3879,596,PROVISIONAL,595,OK,595,MIXED,,
CDC,OK,4699,4699,704,PROVISIONAL,703,OK,703,MIXED,,
CEO,OK,2990,2990,550,PROVISIONAL,549,OK,549,MIXED,,
CII,OK,5070,5070,621,PROVISIONAL,620,OK,620,MIXED,,
CKG,OK,1619,1619,222,PROVISIONAL,221,OK,221,TRENDING_DOWN,,
CMG,OK,4151,4151,548,PROVISIONAL,547,OK,547,MIXED,,
