Metric,Value
Ticker,MWG
PriceMovementConfigCode,PM_ZZ_D_V2
ZigZagConfigCode,ZZ_D_5_MVP
CoreStartDate,2025-11-21
CoreEndDate,2026-09-14
OHLCWarmupStartDate,2025-09-22
ProfileAsOfConfirmedAtDate,2026-09-17
ZigZagSwingRows,21
PriceMovementSwingRows,21
ZigZagPivotRows,21
OHLCRows,246
ProfileRows,1
MissingMovementSwingCount,0
ExtraMovementSwingCount,0
IdentityMismatchCount,0
NumericMismatchCount,0
SwingPctFormulaMismatchCount,0
TradingBarsMismatchCount,0
VelocityMismatchCount,0
PathEfficiencyBoundsViolationCount,0
PersistenceBoundsViolationCount,0
PointInTimeViolationCount,0
ProfileLastSwingMismatchCount,0
ProfileAsOfMismatchCount,0
TotalCoreErrors,0
ReconciliationStatus,PASS
