ConfigId,ConfigCode,ModelVersion,Timeframe,DeviationPct,Ticker,PivotSeq,PivotType,PivotDate,PivotPrice,ConfirmedAtDate,ConfirmationPrice
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,259,LOW,2025-11-21,76.9,2025-12-03,83.4
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,260,HIGH,2025-12-04,84.88,2025-12-12,77.3
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,261,LOW,2025-12-16,76.31,2025-12-17,80.64
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,262,HIGH,2025-12-25,88.62,2026-01-15,82.71
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,263,LOW,2025-12-26,81.33,2026-01-16,85.67
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,264,HIGH,2026-02-03,92.95,2026-02-06,87.04
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,265,LOW,2026-02-06,84.68,2026-02-11,90.49
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,266,HIGH,2026-02-26,92.85,2026-03-03,86.85
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,267,LOW,2026-03-09,75.82,2026-03-10,79.76
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,268,HIGH,2026-03-11,85.27,2026-03-13,80.74
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,269,LOW,2026-03-23,73.06,2026-03-25,77.99
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,270,HIGH,2026-04-01,82.61,2026-04-03,78.08
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,271,LOW,2026-04-07,75.43,2026-04-08,80.64
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,272,HIGH,2026-04-20,87.14,2026-04-24,82.22
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,273,LOW,2026-05-20,73.06,2026-05-21,78.28
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,274,HIGH,2026-05-22,79.76,2026-05-29,75.13
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,275,LOW,2026-06-24,73.85,2026-06-29,77.79
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,276,HIGH,2026-07-02,80.15,2026-07-10,75.43
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,277,LOW,2026-07-28,61.54,2026-07-29,66.5
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,278,HIGH,2026-08-27,75.9,2026-09-07,72.0
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,279,LOW,2026-09-14,68.6,2026-09-17,73.1
