CalibrationVersion,Ticker,Timeframe,BaseDeviationPct,SelectionMethod,TrainScore,ValidationScore,TestScore
V1.1,MWG,D,0.12,SMALLEST_ELIGIBLE,0.96,0.94,0.9
V1.1,FPT,D,0.08,SMALLEST_ELIGIBLE,0.8909090909090909,0.9612903225806452,0.9999999999999999
V1.1,HPG,D,0.08,SMALLEST_ELIGIBLE,0.9142857142857143,0.9,0.9999999999999999
V1.1,MBB,D,0.1,SMALLEST_ELIGIBLE,0.9999999999999999,0.9199999999999999,0.9999999999999999
V1.1,VCB,D,0.07,SMALLEST_ELIGIBLE,0.9255813953488371,0.9076923076923077,0.9999999999999999
V1.1,VNM,D,0.07,SMALLEST_ELIGIBLE,0.8900763358778626,0.9999999999999999,0.9999999999999999
V1.1,DIG,D,0.12,FALLBACK_SCORE,0.9736263736263736,0.8325581395348837,0.9999999999999999
V1.1,CEO,D,0.12,FALLBACK_SCORE,0.9823529411764705,0.58,0.8941176470588235
V1.1,NVL,D,0.1,SMALLEST_ELIGIBLE,0.9999999999999999,0.8875,0.8736842105263157
V1.1,SSI,D,0.1,SMALLEST_ELIGIBLE,0.9206611570247933,0.9999999999999999,0.9999999999999999
