Ticker,Date,Open,High,Low,Close,Volume,TradingValue,ConfigCode,ModelVersion,DeviationPct,PivotSeq,PivotType,PivotPrice,ConfirmedAtDate,ConfirmationPrice,ZigZagLow,ZigZagHigh,IsConfirmedPivot
MWG,2026-05-04,83.4,84.09,82.12,83.6,6372100,537795971136,,,,,,,,,,,False
MWG,2026-05-05,83.3,84.09,82.81,83.5,4720200,399466641796,,,,,,,,,,,False
MWG,2026-05-06,83.89,85.07,83.6,84.68,6696800,573612632580,,,,,,,,,,,False
MWG,2026-05-07,84.88,86.06,84.68,84.68,6344700,548782369480,,,,,,,,,,,False
MWG,2026-05-08,84.39,84.58,83.3,83.3,4605300,391678220676,,,,,,,,,,,False
MWG,2026-05-11,83.01,83.89,82.22,82.22,5716900,481217609558,,,,,,,,,,,False
MWG,2026-05-12,82.22,83.01,81.33,82.51,4934800,218141433858,,,,,,,,,,,False
MWG,2026-05-13,82.71,83.01,81.43,82.42,3536900,294392529755,,,,,,,,,,,False
MWG,2026-05-14,82.42,83.3,81.92,82.91,4001800,335875730828,,,,,,,,,,,False
MWG,2026-05-15,83.2,83.3,80.74,80.74,6691900,555502188023,,,,,,,,,,,False
MWG,2026-05-18,80.74,80.74,77.79,77.79,11953700,954158980161,,,,,,,,,,,False
MWG,2026-05-19,77.99,78.48,76.9,77.0,7953500,626006807580,,,,,,,,,,,False
MWG,2026-05-20,77.0,77.59,73.06,76.02,8786000,676500389839,ZZ_D_5_MVP,MVP1,0.05,273,LOW,73.06,2026-05-21,78.28,73.06,,True
MWG,2026-05-21,77.0,78.28,76.51,78.28,6597700,519951059150,,,,,,,,,,,False
MWG,2026-05-22,78.97,79.76,77.89,78.18,6083900,485459030928,ZZ_D_5_MVP,MVP1,0.05,274,HIGH,79.76,2026-05-29,75.13,,79.76,True
MWG,2026-05-25,78.87,78.87,77.2,77.49,2510300,198396869012,,,,,,,,,,,False
MWG,2026-05-26,77.79,78.18,77.1,77.3,2518800,198394060023,,,,,,,,,,,False
MWG,2026-05-27,77.89,79.17,77.59,78.77,4631100,369705714296,,,,,,,,,,,False
MWG,2026-05-28,78.77,79.07,76.51,76.51,4026400,319434425793,,,,,,,,,,,False
MWG,2026-05-29,76.51,77.1,74.64,75.13,7834500,601837611700,,,,,,,,,,,False
MWG,2026-06-01,75.33,77.89,75.33,77.89,3799400,296385828700,,,,,,,,,,,False
MWG,2026-06-02,78.18,78.18,76.31,76.71,2969500,232044889992,,,,,,,,,,,False
MWG,2026-06-03,76.61,77.3,75.72,77.3,4801100,373280120395,,,,,,,,,,,False
MWG,2026-06-04,77.3,77.3,75.82,77.2,4308300,313348739649,,,,,,,,,,,False
MWG,2026-06-05,77.3,77.69,76.41,76.8,3241800,253061420121,,,,,,,,,,,False
MWG,2026-06-08,75.82,76.11,75.13,75.23,4633800,355593607574,,,,,,,,,,,False
MWG,2026-06-09,75.33,76.31,75.13,76.21,1770800,136204670430,,,,,,,,,,,False
MWG,2026-06-10,75.92,77.1,75.43,77.0,2866200,222472837597,,,,,,,,,,,False
MWG,2026-06-11,77.1,77.3,75.72,75.72,3302700,256700531126,,,,,,,,,,,False
MWG,2026-06-12,76.61,76.61,75.13,75.23,4139700,318074450119,,,,,,,,,,,False
MWG,2026-06-15,75.82,78.48,75.82,78.18,7871700,618890370823,,,,,,,,,,,False
MWG,2026-06-16,78.18,78.58,77.59,78.18,3183300,252451980839,,,,,,,,,,,False
MWG,2026-06-17,78.08,78.58,77.49,77.89,4068800,323085240417,,,,,,,,,,,False
MWG,2026-06-18,77.39,77.79,76.8,77.49,3234500,253716738967,,,,,,,,,,,False
