RegimeVersion,CalibrationVersion,Ticker,PivotSeq,PivotType,PivotDate,PivotPrice,ConfirmedAtDate,ConfirmationPrice,DeviationPctUsed,DeviationSelectedAtDate,RegimeUsed
V2.0,V1.1,MWG,1,LOW,2014-07-14,4.19,2014-07-16,4.81,0.12,,BOOTSTRAP
V2.0,V1.1,MWG,2,HIGH,2014-09-23,9.46,2014-09-25,8.32,0.12,2014-07-16,NORMAL
V2.0,V1.1,MWG,3,LOW,2014-09-25,8.32,2014-10-08,9.66,0.12,2014-09-25,NORMAL
V2.0,V1.1,MWG,4,HIGH,2014-10-10,10.37,2014-11-03,9.05,0.12,2014-10-08,NORMAL
V2.0,V1.1,MWG,5,LOW,2014-12-01,7.29,2014-12-03,8.48,0.12,2014-11-03,NORMAL
V2.0,V1.1,MWG,6,HIGH,2015-02-25,13.0,2015-03-02,11.25,0.12,2014-12-03,NORMAL
V2.0,V1.1,MWG,7,LOW,2015-05-15,7.74,2015-05-19,8.79,0.12,2015-03-02,NORMAL
V2.0,V1.1,MWG,8,HIGH,2015-05-20,9.39,2015-06-19,7.96,0.15,2015-05-19,HIGH_VOL
V2.0,V1.1,MWG,9,LOW,2015-08-25,6.48,2015-08-31,7.25,0.096,2015-06-19,LOW_VOL
V2.0,V1.1,MWG,10,HIGH,2015-08-31,7.47,2015-09-15,6.48,0.12,2015-08-31,NORMAL
V2.0,V1.1,MWG,11,LOW,2015-09-16,6.42,2015-10-08,7.69,0.15,2015-09-15,HIGH_VOL
V2.0,V1.1,MWG,12,HIGH,2015-11-24,9.11,2015-12-10,8.13,0.096,2015-10-08,LOW_VOL
V2.0,V1.1,MWG,13,LOW,2016-01-22,7.36,2016-02-24,8.51,0.15,2015-12-10,HIGH_VOL
V2.0,V1.1,MWG,14,HIGH,2016-07-14,16.12,2016-07-21,14.44,0.096,2016-02-24,LOW_VOL
V2.0,V1.1,MWG,15,LOW,2016-08-03,13.66,2016-08-15,15.79,0.15,2016-07-21,HIGH_VOL
V2.0,V1.1,MWG,16,HIGH,2016-08-19,17.58,2016-09-15,14.82,0.15,2016-08-15,HIGH_VOL
V2.0,V1.1,MWG,17,LOW,2016-09-19,14.55,2016-10-18,16.79,0.15,2016-09-15,HIGH_VOL
V2.0,V1.1,MWG,18,HIGH,2017-11-21,31.29,2018-02-06,26.87,0.12,2016-10-18,NORMAL
V2.0,V1.1,MWG,19,LOW,2018-04-19,22.13,2018-05-23,25.88,0.15,2018-02-06,HIGH_VOL
V2.0,V1.1,MWG,20,HIGH,2018-06-14,28.85,2018-07-02,24.5,0.15,2018-05-23,HIGH_VOL
V2.0,V1.1,MWG,21,LOW,2018-07-04,22.81,2018-07-19,26.4,0.15,2018-07-02,HIGH_VOL
V2.0,V1.1,MWG,22,HIGH,2018-10-10,30.0,2018-10-26,24.73,0.15,2018-07-19,HIGH_VOL
V2.0,V1.1,MWG,23,LOW,2018-10-29,23.95,2018-12-03,26.87,0.12,2018-10-26,NORMAL
V2.0,V1.1,MWG,24,HIGH,2019-09-30,40.22,2019-11-21,35.25,0.12,2018-12-03,NORMAL
V2.0,V1.1,MWG,25,LOW,2019-11-29,33.11,2020-01-21,37.27,0.12,2019-11-21,NORMAL
V2.0,V1.1,MWG,26,HIGH,2020-01-21,37.43,2020-02-03,33.79,0.096,2020-01-21,LOW_VOL
V2.0,V1.1,MWG,27,LOW,2020-03-31,17.49,2020-04-03,20.31,0.15,2020-02-03,HIGH_VOL
V2.0,V1.1,MWG,28,HIGH,2020-06-08,28.36,2020-07-27,22.89,0.15,2020-04-03,HIGH_VOL
V2.0,V1.1,MWG,29,LOW,2020-07-29,22.14,2020-08-13,25.53,0.12,2020-07-27,NORMAL
V2.0,V1.1,MWG,30,HIGH,2021-07-09,56.66,2021-07-19,49.29,0.12,2020-08-13,NORMAL
V2.0,V1.1,MWG,31,LOW,2021-07-29,49.13,2021-09-13,59.23,0.15,2021-07-19,HIGH_VOL
V2.0,V1.1,MWG,32,HIGH,2022-04-14,77.14,2022-05-09,64.63,0.12,2021-09-13,NORMAL
V2.0,V1.1,MWG,33,LOW,2022-05-16,57.43,2022-05-27,69.52,0.15,2022-05-09,HIGH_VOL
V2.0,V1.1,MWG,34,HIGH,2022-06-16,75.36,2022-07-05,62.48,0.15,2022-05-27,HIGH_VOL
V2.0,V1.1,MWG,35,LOW,2022-07-20,55.52,2022-08-25,65.25,0.15,2022-07-05,HIGH_VOL
V2.0,V1.1,MWG,36,HIGH,2022-09-12,71.92,2022-09-28,62.0,0.12,2022-08-25,NORMAL
V2.0,V1.1,MWG,37,LOW,2022-10-10,50.56,2022-10-14,57.14,0.12,2022-09-28,NORMAL
V2.0,V1.1,MWG,38,HIGH,2022-10-18,57.71,2022-10-24,48.27,0.15,2022-10-14,HIGH_VOL
V2.0,V1.1,MWG,39,LOW,2022-11-16,33.62,2022-11-17,39.87,0.15,2022-10-24,HIGH_VOL
V2.0,V1.1,MWG,40,HIGH,2023-02-02,47.6,2023-02-10,40.16,0.15,2022-11-17,HIGH_VOL
V2.0,V1.1,MWG,41,LOW,2023-03-21,35.77,2023-06-12,41.02,0.12,2023-02-10,NORMAL
V2.0,V1.1,MWG,42,HIGH,2023-08-15,53.83,2023-08-18,48.34,0.096,2023-06-12,LOW_VOL
V2.0,V1.1,MWG,43,LOW,2023-08-22,45.6,2023-09-06,52.97,0.15,2023-08-18,HIGH_VOL
V2.0,V1.1,MWG,44,HIGH,2023-09-13,57.11,2023-09-22,50.17,0.12,2023-09-06,NORMAL
V2.0,V1.1,MWG,45,LOW,2023-11-02,32.36,2023-11-03,37.51,0.12,2023-09-22,NORMAL
V2.0,V1.1,MWG,46,HIGH,2024-08-26,68.73,2024-11-15,58.14,0.15,2023-11-03,HIGH_VOL
V2.0,V1.1,MWG,47,LOW,2024-11-20,54.36,2024-12-25,60.38,0.096,2024-11-15,LOW_VOL
V2.0,V1.1,MWG,48,HIGH,2024-12-26,60.57,2025-02-11,54.75,0.096,2024-12-25,LOW_VOL
V2.0,V1.1,MWG,49,LOW,2025-02-14,52.22,2025-03-04,57.76,0.096,2025-02-11,LOW_VOL
V2.0,V1.1,MWG,50,HIGH,2025-03-11,61.35,2025-04-03,53.1,0.12,2025-03-04,NORMAL
V2.0,V1.1,MWG,51,LOW,2025-04-09,44.41,2025-04-11,51.35,0.12,2025-04-03,NORMAL
V2.0,V1.1,MWG,52,HIGH,2026-02-03,92.95,2026-03-09,75.82,0.15,2025-04-11,HIGH_VOL
V2.0,V1.1,MWG,53,LOW,2026-03-23,73.06,2026-04-17,85.57,0.15,2026-03-09,HIGH_VOL
V2.0,V1.1,MWG,54,HIGH,2026-04-20,87.14,2026-05-20,76.02,0.12,2026-04-17,NORMAL
V2.0,V1.1,MWG,55,LOW,2026-07-28,61.54,2026-07-30,69.8,0.12,2026-05-20,NORMAL
V2.0,V1.1,FPT,1,LOW,2006-12-13,9.63,2006-12-15,10.61,0.08,,BOOTSTRAP
V2.0,V1.1,FPT,2,HIGH,2006-12-20,12.27,2006-12-22,11.09,0.08,2006-12-15,NORMAL
V2.0,V1.1,FPT,3,LOW,2006-12-26,10.03,2006-12-27,11.55,0.08,2006-12-22,NORMAL
V2.0,V1.1,FPT,4,HIGH,2006-12-27,11.55,2007-01-02,10.59,0.08,2006-12-27,NORMAL
V2.0,V1.1,FPT,5,LOW,2007-01-02,10.59,2007-01-05,11.91,0.08,2007-01-02,NORMAL
V2.0,V1.1,FPT,6,HIGH,2007-02-01,15.57,2007-02-09,13.81,0.08,2007-01-05,NORMAL
V2.0,V1.1,FPT,7,LOW,2007-02-09,13.81,2007-02-13,15.16,0.08,2007-02-09,NORMAL
V2.0,V1.1,FPT,8,HIGH,2007-02-27,16.17,2007-03-01,14.8,0.08,2007-02-13,NORMAL
V2.0,V1.1,FPT,9,LOW,2007-03-28,11.75,2007-03-29,12.96,0.08,2007-03-01,NORMAL
