ConfigId,ConfigCode,IndicatorCode,Timeframe,Parameters,WarmupBars,IsEnabled,Description,CreatedAt,UpdatedAt
1,BB20_2_D,BB,D,"{""length"": 20, ""std"": 2.0}",20,true,,2026-08-25 21:44:46.045394,2026-08-25 21:45:37.234311
2,BB20_2_W,BB,W,"{""length"": 20, ""std"": 2.0}",20,true,,2026-08-25 21:44:46.094485,2026-08-25 21:45:37.280714
3,BB20_2_M,BB,M,"{""length"": 20, ""std"": 2.0}",20,true,,2026-08-25 21:44:46.108772,2026-08-25 21:45:37.292341
4,MA20_D,MA,D,"{""length"": 20}",20,true,,2026-08-25 21:44:46.131718,2026-08-25 21:45:37.310377
5,MA50_D,MA,D,"{""length"": 50}",50,true,,2026-08-25 21:44:46.145647,2026-08-25 21:45:37.329172
6,MA100_D,MA,D,"{""length"": 100}",100,true,,2026-08-25 21:44:46.158547,2026-08-25 21:45:37.346596
7,MA200_D,MA,D,"{""length"": 200}",200,true,,2026-08-25 21:44:46.171901,2026-08-25 21:45:37.364612
8,MA20_W,MA,W,"{""length"": 20}",20,true,,2026-08-25 21:44:46.183066,2026-08-25 21:45:37.383032
9,MA50_W,MA,W,"{""length"": 50}",50,true,,2026-08-25 21:44:46.197401,2026-08-25 21:45:37.400808
10,MA100_W,MA,W,"{""length"": 100}",100,true,,2026-08-25 21:44:46.215508,2026-08-25 21:45:37.416735
11,MA200_W,MA,W,"{""length"": 200}",200,true,,2026-08-25 21:44:46.229342,2026-08-25 21:45:37.432651
12,MA20_M,MA,M,"{""length"": 20}",20,true,,2026-08-25 21:44:46.247301,2026-08-25 21:45:37.445993
13,MA50_M,MA,M,"{""length"": 50}",50,true,,2026-08-25 21:44:46.26842,2026-08-25 21:45:37.458424
14,MA100_M,MA,M,"{""length"": 100}",100,true,,2026-08-25 21:44:46.28633,2026-08-25 21:45:37.474016
15,MA200_M,MA,M,"{""length"": 200}",200,true,,2026-08-25 21:44:46.302132,2026-08-25 21:45:37.488118
16,RSI14_D,RSI,D,"{""length"": 14}",14,true,,2026-08-25 21:44:46.321917,2026-08-25 21:45:37.499737
17,RSI14_W,RSI,W,"{""length"": 14}",14,true,,2026-08-25 21:44:46.334261,2026-08-25 21:45:37.510437
18,RSI14_M,RSI,M,"{""length"": 14}",14,true,,2026-08-25 21:44:46.346396,2026-08-25 21:45:37.527703
37,ATR14_D,ATR,D,"{""length"": 14}",14,true,,2026-09-01 15:11:55.795737,
38,ATR14_W,ATR,W,"{""length"": 14}",14,true,,2026-09-01 15:11:55.795737,
39,ATR14_M,ATR,M,"{""length"": 14}",14,true,,2026-09-01 15:11:55.795737,
